title,apr
9/6/2024,17.3855
9/7/2024,17.3713
9/8/2024,17.3753
9/9/2024,17.3744
9/10/2024,17.3449
9/11/2024,17.3558
9/12/2024,17.3625
9/13/2024,17.3663
9/14/2024,17.3749
9/15/2024,17.3762
9/16/2024,17.4363
9/17/2024,17.4035
9/18/2024,17.4065
9/19/2024,17.404
9/20/2024,17.4066
9/21/2024,17.4302
9/22/2024,17.4383
9/23/2024,17.453
9/24/2024,17.4291
9/25/2024,17.5635
9/26/2024,17.6023
9/27/2024,17.6257
9/28/2024,17.6388
9/29/2024,17.6948
9/30/2024,17.9211
10/1/2024,17.9549
10/2/2024,17.88
10/3/2024,17.8873
10/4/2024,17.8828
10/5/2024,17.97
10/6/2024,17.9833
10/7/2024,17.9808
10/8/2024,17.9308
10/9/2024,18.0344
10/10/2024,18.0508
10/11/2024,18.0558
10/12/2024,18.0693
10/13/2024,18.0633
10/14/2024,18.0706
10/15/2024,18.5779
10/16/2024,18.5791
10/17/2024,18.5789
10/18/2024,18.5921
10/19/2024,18.615
10/20/2024,18.6312
10/21/2024,16.4265
10/22/2024,16.2821
10/23/2024,16.2892
10/24/2024,16.2989
10/25/2024,16.3039
10/26/2024,16.3091
10/27/2024,16.3111
10/28/2024,16.3677
10/29/2024,16.208
10/30/2024,16.3703
10/31/2024,16.3678
11/1/2024,16.3731
11/2/2024,16.3665
11/3/2024,16.3641
11/4/2024,16.3705
11/5/2024,16.152
11/6/2024,16.1581
11/7/2024,16.1679
11/8/2024,16.2399
11/9/2024,16.2526
11/10/2024,16.2983
11/11/2024,16.2539
11/12/2024,16.0586
11/13/2024,16.133
11/14/2024,16.1694
11/15/2024,16.4267
11/16/2024,16.4602
11/17/2024,16.4768
11/18/2024,16.562
11/19/2024,16.1092
11/20/2024,16.1278
11/21/2024,16.1471
11/22/2024,16.157
11/23/2024,16.1827
11/24/2024,16.2058
11/25/2024,16.1982
11/26/2024,16.0118
11/27/2024,16.0448
11/28/2024,16.0534
11/29/2024,16.0685
11/30/2024,16.0756
12/1/2024,16.1864
12/2/2024,16.2189
12/3/2024,15.9528
12/4/2024,16.0731
12/5/2024,16.0995
12/6/2024,16.1178
12/7/2024,16.1899
12/8/2024,16.1986
12/9/2024,16.197
12/10/2024,16.1796
12/11/2024,16.1898
12/12/2024,16.2734
12/13/2024,16.2949
12/14/2024,16.3046
12/15/2024,16.3086
12/16/2024,16.3647
12/17/2024,16.2898
12/18/2024,16.2952
12/19/2024,16.2891
12/20/2024,16.302
12/21/2024,16.3013
12/22/2024,16.3035
12/23/2024,16.2653
12/24/2024,16.2246
12/25/2024,16.2254
12/26/2024,16.2359
12/27/2024,16.2586
12/28/2024,16.2591
12/29/2024,16.2681
12/30/2024,16.2725
12/31/2024,16.2294
1/1/2025,16.2045
1/2/2025,16.2442
1/3/2025,16.2469
1/4/2025,16.514
1/5/2025,16.4431
1/6/2025,16.213
1/7/2025,16.1561
1/8/2025,16.2114
1/9/2025,16.2146
1/10/2025,16.2261
1/11/2025,16.2288
1/12/2025,16.2334
1/13/2025,16.2439
1/14/2025,16.1904
1/15/2025,16.2135
1/16/2025,16.1289
1/17/2025,16.1178
1/18/2025,16.1192
1/19/2025,16.1282
1/20/2025,16.1297
1/21/2025,16.0651
1/22/2025,16.0726
1/23/2025,16.0639
1/24/2025,16.063
1/25/2025,16.0717
1/26/2025,16.0778
1/27/2025,16.081
1/28/2025,16.0198
1/29/2025,16.029
1/30/2025,16.0295
1/31/2025,16.0385
2/1/2025,16.0426
2/2/2025,16.0451
2/3/2025,16.0954
2/4/2025,16.0727
2/5/2025,16.1746
2/6/2025,16.3488
2/7/2025,16.3385
2/8/2025,16.3556
2/9/2025,16.3173
2/10/2025,16.3125
2/11/2025,16.2222
2/12/2025,16.2598
2/13/2025,16.2619
2/14/2025,16.2633
2/15/2025,16.2795
2/16/2025,16.2776
2/17/2025,16.2737
2/18/2025,16.1744
2/19/2025,16.1824
2/20/2025,16.1843
2/21/2025,16.1828
2/22/2025,16.1849
2/23/2025,16.1921
2/24/2025,16.1951
2/25/2025,16.0937
2/26/2025,16.1045
2/27/2025,16.1064
2/28/2025,16.1172
3/1/2025,16.1055
3/2/2025,16.1076
3/3/2025,16.1775
3/4/2025,16.0525
3/5/2025,18.6677
3/6/2025,18.5063
3/7/2025,18.5013
3/8/2025,18.4789
3/9/2025,18.4785
3/10/2025,18.488
3/11/2025,18.481
3/12/2025,18.4927
3/13/2025,18.4962
3/14/2025,18.4994
3/15/2025,18.5111
3/16/2025,18.5238
3/17/2025,18.5271
3/18/2025,18.5318
3/19/2025,18.5337
3/20/2025,18.5384
3/21/2025,18.5507
3/22/2025,18.5507
3/23/2025,18.5373
3/24/2025,18.5407
3/25/2025,18.5426
3/26/2025,18.5499
3/27/2025,18.5587
3/28/2025,18.5654
3/29/2025,18.5253
3/30/2025,18.534
3/31/2025,18.5328
4/1/2025,18.5549
4/2/2025,18.5608
4/3/2025,18.5464
4/4/2025,18.5486
4/5/2025,18.5606
4/6/2025,18.5637
4/7/2025,18.5627
4/8/2025,18.5867
4/9/2025,18.5934
4/10/2025,18.5942
4/11/2025,18.6109
4/12/2025,18.6119
4/13/2025,18.6128
4/14/2025,18.6045
4/15/2025,18.6147
4/16/2025,18.4991
4/17/2025,18.5094
4/18/2025,18.52
4/19/2025,18.5366
4/20/2025,18.543
4/21/2025,18.5422
4/22/2025,18.5294
4/23/2025,18.5459
4/24/2025,18.5461
4/25/2025,18.547
4/26/2025,18.5515
4/27/2025,18.58
4/28/2025,18.5803
4/29/2025,18.6233
4/30/2025,18.6443
5/1/2025,18.6461
5/2/2025,18.6569
5/3/2025,18.6584
5/4/2025,18.6648
5/5/2025,18.793
5/6/2025,18.7943
5/7/2025,18.8002
5/8/2025,18.8123
5/9/2025,18.9397
5/10/2025,18.8103
5/11/2025,18.8319
5/12/2025,18.8263
5/13/2025,18.8277
5/14/2025,18.836
